URL;type ;type2;type3;source
amtvmedia.com;rumor;unreliable;;3
amusmentic.com;clickbait;rumor;;3
ancient-code.com;junksci;unreliable;;3
anonnews.co;unreliable;;;3
anotherdayintheempire.com;bias;conspiracy;;3
antiwar.com;bias;unreliable;;3
antoniusaquinas.wp.com;bias;conspiracy;;3
aryannationswordwide1488.org;hate;;;3
asia-pacificresearch.com;unreliable;satire;;3
assassinationscience.com;conspiracy;junksci;;3
attn.com;political;clickbait;;3
AutomaticEarth.com;unreliable;;;3
automotostar.com;clickbait;;;3
awazetribune.com;satire;;;3
awdnews.com;conspiracy;;;3
awm.com;unreliable;bias;clickbait;3
BadSquad.com;unknown;;;3
baptistnews.com;political;;;3
barnesreview.org;hate;;;3
beehivebugle.com;satire;;;3
betootaadvocate.com;satire;;;3
bigamericannews.com;satire;fake;;3
bigbluedimension.com;rumor;bias;;3
bigbluevision.com;hate;;;3
bighairynews.com;fake;conspiracy;;3
bigpzone.com;unknown;;;3
blackagendareport.com;unreliable;;;3
blackgenocide.org;conspiracy;bias;hate;3
blackinusrancenews.com;fake;unreliable;;3
blacklistednews.com;clickbait;unreliable;;3
bluenationreview.com;clickbait;unreliable;;3
Boilingfrogspost.com;unreliable;;;3
borowitzreport.com;satire;;;3
breaking911.com;clickbait;unreliable;;3
breakpoint.org;unreliable;;;3
breitbart.com;political;unreliable;bias;3
BrotherJohnF.com;bias;conspiracy;;3
BullionBullsCanada.com;conspiracy;;;3
bvanews.com;unreliable;bias;fake;3
callthecops.net;satire;;;3
canadafreepress.com;conspiracy;bias;;3
cap-news.com;fake;;;3
cato.org/blog;political;reliable;;3
cbsnews.com.co;fake;;;3
centerforsecuritypolicy.org;bias;conspiracy;;3
centerforsecuritypolicy.org/#articles;hate;;;3
charismanews.com;bias;;;3
chaser.com.au;satire;;;3
checkoutthehealthyworld.com;junksci;clickbait;;3
christianfightback.com;hate;bias;;3
christianpost.com;reliable;political;;3
christwire.org;satire;;;3
chronicle.su;satire;;;3
chroniclesmagazine.org;political;;;3
citizensunited.org;bias;;;3
city-journal.org;political;;;3
cityworldnews.com;fake;;;3
clickhole.com;satire;;;3
cnnnext.com;unreliable;;;3
CNSNews.com;unreliable;bias;;3
coasttocoastam.com;unreliable;;;3
coed.com;fake;unreliable;;3
collectivelyconscious.net;junksci;conspiracy;;3
ComingDepression.com;unknown;;;3
commentarymagazine.com;political;;;3
commondreams.org;political;clickbait;;3
concisepolitics.com;conspiracy;hate;;3
consciouslifenews.com;junksci;;;3
conservapedia.com;bias;;;3
conservativefighters.com;fake;;;3
conservativefrontline.com;unknown;;;3
